hour,day_of_week,crime_count,city
2,Sunday,5851,Seattle
2,Thursday,3428,Seattle
2,Tuesday,3121,Seattle
2,Wednesday,3272,Seattle
3,Friday,2895,Seattle
3,Monday,2858,Seattle
3,Saturday,3526,Seattle
3,Sunday,3879,Seattle
3,Thursday,2750,Seattle
3,Tuesday,2672,Seattle
3,Wednesday,2568,Seattle
4,Friday,2506,Seattle
4,Monday,2595,Seattle
4,Saturday,2933,Seattle
4,Sunday,3067,Seattle
4,Thursday,2416,Seattle
4,Tuesday,2593,Seattle
4,Wednesday,2551,Seattle
5,Friday,2411,Seattle
5,Monday,2484,Seattle
5,Saturday,2358,Seattle
5,Sunday,2397,Seattle
5,Thursday,2387,Seattle
5,Tuesday,2307,Seattle
5,Wednesday,2439,Seattle
6,Friday,2778,Seattle
6,Monday,2829,Seattle
6,Saturday,2321,Seattle
6,Sunday,2319,Seattle
6,Thursday,2738,Seattle
6,Tuesday,2728,Seattle
6,Wednesday,2931,Seattle
7,Friday,3628,Seattle
7,Monday,3675,Seattle
7,Saturday,2546,Seattle
7,Sunday,2315,Seattle
7,Thursday,3590,Seattle
7,Tuesday,3753,Seattle
7,Wednesday,3768,Seattle
8,Friday,5136,Seattle
8,Monday,5454,Seattle
8,Saturday,3650,Seattle
8,Sunday,3378,Seattle
8,Thursday,5002,Seattle
8,Tuesday,5331,Seattle
8,Wednesday,5239,Seattle
9,Friday,5065,Seattle
9,Monday,5357,Seattle
9,Saturday,4073,Seattle
9,Sunday,3682,Seattle
9,Thursday,5046,Seattle
9,Tuesday,5250,Seattle
9,Wednesday,5224,Seattle
10,Friday,5629,Seattle
10,Monday,5567,Seattle
10,Saturday,5012,Seattle
10,Sunday,4388,Seattle
10,Thursday,5342,Seattle
10,Tuesday,5282,Seattle
10,Wednesday,5455,Seattle
11,Friday,5887,Seattle
11,Monday,5601,Seattle
11,Saturday,5128,Seattle
11,Sunday,4768,Seattle
11,Thursday,5600,Seattle
11,Tuesday,5654,Seattle
11,Wednesday,5686,Seattle
12,Friday,8880,Seattle
12,Monday,8443,Seattle
12,Saturday,7878,Seattle
12,Sunday,7358,Seattle
12,Thursday,8486,Seattle
12,Tuesday,8378,Seattle
12,Wednesday,8566,Seattle
13,Friday,6610,Seattle
13,Monday,6363,Seattle
13,Saturday,6041,Seattle
13,Sunday,5786,Seattle
13,Thursday,6463,Seattle
13,Tuesday,6457,Seattle
